library,number_of_books_held,place,lat,long,longitude,latitude
"Biblioteca diocesana ",2," Tivoli (RM)",41.9580215,12.7886959,12.7886959,41.9580215
"Biblioteca Etnografica Giuseppe Pitré ",2," Palermo (PA)",38.1668896,13.3309876,13.3309876,38.1668896
"Biblioteca Comunale ",2," Pomigliano d'Arco (NA)",40.9096456,14.3775276,14.3775276,40.9096456
"Biblioteca comunale Giuseppe Melli ",2," San Pietro Vernotico (BR)",40.4862656,17.9890931,17.9890931,40.4862656
"Biblioteca civica ",3," Cosenza (CS)",39.2867842,16.2587745,16.2587745,39.2867842
"Biblioteca Casanatense ",3," Roma (RM)",41.8986879,12.4794511,12.4794511,41.8986879
"Biblioteca universitaria di Napoli ",3," Napoli (NA)",40.8471267,14.2467174,14.2467174,40.8471267
"Biblioteca della Fondazione Benedetto Croce ",4," Napoli (NA)",40.8476575,14.2531185,14.2531185,40.8476575
"Biblioteca comunale Pietro De Nava ",4," Reggio di Calabria (RC)",38.1149011,15.6526688,15.6526688,38.1149011
"Biblioteca comunale ",4," Casamassima (BA)",40.9554505,16.9192379,16.9192379,40.9554505
"Biblioteca Accademia Pontaniana ",4," Napoli (NA)",40.846257,14.2564484,14.2564484,40.846257
"Biblioteca di Filosofia -  Sapienza Università di Roma ",4," Roma (RM)",41.918663,12.5176248,12.5176248,41.918663
"Biblioteca statale del Monumento Nazionale di Grottaferrata ",5," Grottaferrata (RM)",41.7860126,12.6664368,12.6664368,41.7860126
"Biblioteca Angelica ",6," Roma (RM)",41.9008002,12.4744636,12.4744636,41.9008002
"Biblioteca del Liceo ginnasio statale Ennio Quirino Visconti ",7," Roma (RM)",41.9036563,12.4886484,12.4886484,41.9036563
"Biblioteca comunale Gaetano Filangieri ",10," Castellammare di Stabia (NA)",40.6984726,14.4725394,14.4725394,40.6984726
"Biblioteca Nazionale Sagarriga Visconti Volpi ",10," Bari (BA)",41.1287723,16.846345,16.846345,41.1287723
"Biblioteca nazionale centrale ",14," Roma (RM)",41.9055533,12.5082884,12.5082884,41.9055533
"Biblioteca Marco Besso ",14," Roma (RM)",41.8962638,12.4769041,12.4769041,41.8962638
"Biblioteca provinciale La Magna Capitana ",16," Foggia (FG)",41.4561641,15.5598138,15.5598138,41.4561641
"Biblioteca nazionale Vittorio Emanuele III ",16," Napoli (NA)",40.8374481,14.250028,14.250028,40.8374481
