library,number_of_books_held,place,longitude,latitude
Biblioteca di Ingegneria e Architettura. Sezione di Ingegneria civile 'Giovanni Michelucci' ,1, Bologna (BO),11.3075481,44.487393
"Biblioteca del Centro APICE -  Archivi della parola, dell'immagine e della comunicazione editoriale dell'Università degli studi di Milano ",1, Milano (MI) ,9.2001837,45.4317027
Biblioteca Centrale Giuridica ,1, Roma (RM),12.4677826,41.9043765
Biblioteca comunale Imbriani Poerio ,1, Pomigliano d'Arco (NA),14.3831195,40.9040593
Biblioteca della Fondazione Centro Studi Ragghianti ,1, Lucca (LU),10.4283345,43.842444
Biblioteca della Fondazione Gramsci ,1, Roma (RM),12.5063569,41.9228739
Biblioteca Seminario S. Andrea ,1, Volterra (PI),10.8663408,43.4039366
Biblioteca comunale 'Francesco Antolisei' ,1, San Severino Marche (MC) ,13.1771091,43.2288769
Biblioteca Teologica Diocesana ,1, Ivrea (TO),7.8760836,45.4686817
BIBLIOTECA CIVICA EUGENIO MONTALE ,1, Varazze (SV),8.5761458,44.360301
Biblioteca civica di Mondovì ,1, Mondovì (CN),7.8189474,44.3845436
Biblioteca Fratelli Pellegrini ,1, Borgo a Mozzano (LU),10.547295,43.979902
Polo Bibliomuseale Biblioteca ,1, Brindisi (BR),17.9384183,40.6326216
Biblioteca comunale G. Carducci ,1, Spoleto (PG),12.7341337,42.7329503
Biblioteca dell'Accademia nazionale di San Luca ,1, Roma (RM),12.4630902,41.9015916
Biblioteca Pubblica Statale annessa al Monumento nazionale di Montevergine ,1, Mercogliano (AV),14.7494855,40.9189262
Biblioteca della Storica Società Operaia di Mutuo Soccorso Ed Istruzione ,1, Pordenone (PN),12.6596804,45.955769
BIBLIOTECA PROVINCIALE DI SALERNO ,1, Salerno (SA),14.7681111,40.6853053
Biblioteca della Fondazione Guido Lodovico Luzzatto ,1, Milano (MI),12.5078336,41.9060021
Biblioteca Poggiana ,1, Montevarchi (AR),11.5671875,43.5243125
Biblioteca Genti D'Abruzzo ,1, Pescara (PE) ,14.2120754,42.4615584
Biblioteca comunale Giuseppe Tescione ,1, Caserta (CE),14.3210459,41.0728994
Biblioteca della Società storica lombarda ,1, Milano (MI),9.1885976,45.4718738
Biblioteca del Liceo classico Marco Foscarini ,1, Venezia (VE),12.33789,45.4439222
Biblioteca pubblica arcivescovile Annibale De Leo ,1, Brindisi (BR),17.94475,40.64009
Biblioteca comunale Cristoforo Landino ,1, Pratovecchio Stia (AR),11.3139386,44.2192769
Biblioteca dell'Istituto nazionale Ferruccio Parri ,1, Milano (MI),9.2207467,45.5232504
Biblioteca delle Arti e Dello Spettacolo -  Fondazione Franco Zeffirelli ,1, Firenze (FI),11.2578136,43.7696678
Biblioteca dei Musei provinciali ERPAC-FVG,1, Gorizia (GO),13.6189485,45.943175
Biblioteca della Scuola Beato Angelico ,1, Milano (MI),9.1360419,45.4590194
Biblioteca Fondazione Maria e Goffredo Bellonci ,1, Roma (RM) ,12.4962473,41.9233583
Biblioteca del Centro nazionale di studi alfieriani ,1, Asti (AT),8.1987005,44.8989886
Biblioteca del Seminario vescovile ,1, Molfetta (BA),16.5982243,41.198354
Biblioteca civica Ricottiana ,1, Voghera (PV),9.0023826,44.991004
Biblioteca comunale Luciano Benincasa ,1, Ancona (AN),13.5006383,43.6227277
Biblioteca comunale Aldo Manuzio ,1, Latina (LT),12.900779,41.4665769
Biblioteca del Seminario vescovile San Pio X ,1, Rovigo (RO),11.7915833,45.0678283
BIBLIOTECA DELLA FONDAZIONE CENTRO INTERNAZIONALE DI STUDI DI ARCHITETTURA ANDREA PALLADIO ,1, Vicenza (VI),11.5494842,45.5409045
Biblioteca MAB -  Provincia Ravenna ,1, Ravenna (RA),12.200251,44.4154754
Biblioteca p. Dionisio Piccirilli ,1, Campobasso (CB),14.6826205,41.5529173
Biblioteca comunale Dante Alighieri ,1, Foligno (PG),12.6919073,42.9563749
Biblioteca della Società napoletana di storia patria ,1, Napoli (NA),14.2530911,40.8381835
Biblioteca Provinciale S. e G. Capone ,1, Avellino (AV),14.7849638,40.9120228
Biblioteca parrocchiale di Romano di Lombardia ,1, Romano di Lombardia (BG),9.5510122,45.6716061
Biblioteca civica Pietro Acclavio ,1, Taranto (TA),17.2580709,40.4637838
Biblioteca comunale don Giovanni Verità e della Accademia degli Incamminati ,1, Modigliana (FC),11.7847594,44.1562041
Biblioteca comunale Federiciana ,1, Fano (PU) ,13.0177059,43.8442098
Biblioteca dell'Accademia di belle arti Pietro Vannucci ,2, Perugia (PG),12.382659,43.113722
Biblioteca Reale ,2, Torino (TO),7.6861251,45.0716944
