Name of Library ,Type of Library ,Number of works ,Links to Omeka Items,Location,Area,ISIL Code ,Alphabetica: Library History,Library website ,Latitude,Longitude
Biblioteca diocesana,Importante non specializzata,2,,Tivoli (RM),Centre,IT-AV0004,,,41.1528421,15.0884703
Biblioteca diocesana,Importante non specializzata,2,,Tivoli (RM),Centre,IT-AV0163,,,40.9258322,15.1786562
Biblioteca diocesana,Specializzata,2,,Tivoli (RM),Centre,IT-BR0029,,,40.497517,17.6421504
Biblioteca diocesana,Specializzata,2,,Tivoli (RM),Centre,IT-CH0140,,http://www.diocesilanciano.it,42.229515,14.3866941
Biblioteca diocesana,Importante non specializzata,2,,Tivoli (RM),Centre,IT-CL0006,,,37.4860732,14.0611575
Biblioteca diocesana,Importante non specializzata,2,,Tivoli (RM),Centre,IT-CN0036,,http://www.diocesicuneo.it/biblioteca,44.3915444,7.5476967
Biblioteca diocesana,Importante non specializzata,2,,Tivoli (RM),Centre,IT-CS0130,,https://diocesitivoliepalestrina.it/diocesi-tivoli/biblioteca-diocesana-tivoli/,41.9651119,12.7961398
Biblioteca Riccardiana,Specializzata,2,,Firenze (FI),Centre,IT-FI0094,,http://www.riccardiana.firenze.sbn.it,43.7751374,11.2551879
Biblioteca San Giorgio,Pubblica,2,,Pistoia (PT),Centre,IT-PT0064,,www.sangiorgio.comune.pistoia.it,43.9283636056642,10.9104205343629
Biblioteca Seminario S. Andrea,Specializzata,3,,Volterra (PI),Centre,IT-PI0267,,,,
Biblioteca Centrale Giuridica,Specializzata,1,,Roma (RM),Centre,IT-RM0731,,http://www.giustizia.it/giustizia/it/mg_7.wp,41.9049767,12.4697336
Biblioteca comunale 'Francesco Antolisei',Importante non specializzata,1,,San Severino Marche (MC),Centre,,,http://opac.unimc.it/SebinaOpac/.do?cdBib=UMCFA,43.2281108,13.1796272
Biblioteca comunale Aldo Manuzio,Pubblica,1,,Latina (LT),Centre,IT-LT0004,,,41.5434924,13.0445442
Biblioteca comunale Aldo Manuzio,Pubblica,1,,Latina (LT),Centre,IT-LT0048,,http://www.comune.latina.it/cultura.php?action=a&id=3584,41.4675967,12.9037
Biblioteca comunale Aldo Manuzio,Pubblica,1,,South and the Islands,Latina (LT),IT-LT0004,,,41.5434924,13.0445442
Biblioteca comunale Aldo Manuzio,Pubblica,1,,South and the Islands,Latina (LT),IT-LT0048,,http://www.comune.latina.it/cultura.php?action=a&id=3584,41.4675967,12.9037
Biblioteca comunale Cristoforo Landino,Pubblica,1,,Pratovecchio Stia (AR),Centre,IT-AR0055,,,43.789615,11.721005
Biblioteca comunale Dante Alighieri,Pubblica,1,,Foligno (PG),Centre,IT-AV0131,,,41.1006523,15.0520313
Biblioteca comunale Dante Alighieri,Importante non specializzata,1,,Foligno (PG),Centre,IT-PG0035,,http://www.comune.foligno.pg.it/canale.asp?id=175,42.9564824,12.7020992
Biblioteca comunale Dante Alighieri,Pubblica,1,,Foligno (PG),Centre,IT-PU0001,,,43.6168058,12.6706899
Biblioteca comunale Dante Alighieri,Importante non specializzata,1,,Foligno (PG),Centre,IT-SR0015,,,36.7182434,15.0902296
Biblioteca comunale Dante Alighieri,Pubblica,1,,Foligno (PG),Centre,IT-TR0014,,,42.5092727,12.3250427
Biblioteca comunale Dante Alighieri,Pubblica,1,,Foligno (PG),Centre,IT-VT0051,,,42.253375,11.7559421
Biblioteca comunale Forteguerriana,Pubblica,1,,Pistoia (PT),Centre,IT-PT0025,,http://www.forteguerriana.comune.pistoia.it,43.9346718,10.9160282
Biblioteca comunale G. Altieri,Biblioteca comunale ,1,,Morolo (FR),Centre,,,,41.6402464,13.162631
Biblioteca comunale G. Carducci,Pubblica,1,,Spoleto (PG),Centre,IT-CS0122,,,39.503885,16.146847
Biblioteca comunale Isabella Montanini Mezzasoma,Pubblica,1,,Tuoro sul Trasimeno (PG),Centre,IT-PG0175,,http://www.comune.tuoro-sul-trasimeno.pg.it/turismo-e-cultura/biblioteche/biblioteca-comunale-isabella-montanini-mezzasoma,43.2063271,12.0718824
Biblioteca comunale Lorenzo Quartieri,Pubblica,1,,Forte dei Marmi (LU),Centre,IT-LU0016,,http://www.provincia.lucca.it/biblioteche/accessibile/sezionisottocategorie/paginabiblioteca.asp?cat=9&scat=174&sscat=173,43.9682668,10.1584041
Biblioteca comunale Luciano Benincasa,Importante non specializzata,1,,Ancona (AN),Centre,IT-AN0001,,http://www.cultura.marche.it/musamarche/arim/5.html,43.6199061,13.5120532
Biblioteca del Collegio internazionale S. Bonaventura,Istituto superiore ecclesiastico,1,,Roma (RM),Centre,,,,41.781979,12.682685
Biblioteca dell'Accademia nazionale di San Luca,Specializzata,1,,Roma (RM),Centre,,,,41.9016899,12.4836677
Biblioteca dell'Istituto della enciclopedia italiana Giovanni Treccani,Specializzata,1,,Roma (RM),Centre,IT-RM0521,,http://www.treccani.it/site/www/biblioteca/biblioteca_storia.htm,41.8944052,12.4774284
Biblioteca dell'Istituto nazionale di studi etruschi ed italici,Specializzata,1,,Firenze (FI),Centre,IT-FI0061,,,43.7750817,11.2572645
Biblioteca della Fondazione Ragghianti,Specializzata,1,,Lucca (LU),Centre,,,http://fondazioneragghianti.it,43.8422898,10.5105964
Biblioteca della Fondazione Istituto Gramsci,Specializzata,1,,Roma (RM),Centre,,,,41.9228858,12.506486
Biblioteca della Fondazione Lelio e Lisli Basso Onlus,Specializzata,1,,Roma (RM),Centre,,,http://www.fondazionebasso.it,41.8988688,12.4752273
